stock,taxa,variable,year,mean,sd,lower,upper,status
Anadara granosa,Anadara granosa,b_div_bmsy,2019,0.860483652898557,0.247811082851419,0.574704670379005,1.27640147028316,Fully fished
Bregmaceros mcclellandi,Bregmaceros mcclellandi,b_div_bmsy,2019,0.862327870530424,0.250200397807018,0.583387273555469,1.26859187195766,Fully fished
Carcharhinus longimanus,Carcharhinus longimanus,b_div_bmsy,2019,0.853878102720196,0.243112638464416,0.579775605688173,1.2606738751282,Fully fished
Chelidonichthys kumu,Chelidonichthys kumu,b_div_bmsy,2019,0.827325116828624,0.25755888418272,0.551483612645305,1.21740260149872,Fully fished
Crassostrea spp,Crassostrea spp,b_div_bmsy,2019,0.852138711859129,0.248993870993649,0.575717861829679,1.26115587119155,Fully fished
Ex Mollusca,Ex Mollusca,b_div_bmsy,2019,0.857796187456155,0.242223799498004,0.585224872649365,1.26239884600178,Fully fished
Genypterus blacodes,Genypterus blacodes,b_div_bmsy,2019,0.867777482103179,0.261604809906003,0.572612003371127,1.36011944239153,Fully fished
Hoplostethus atlanticus,Hoplostethus atlanticus,b_div_bmsy,2019,0.852018419724147,0.241345416176526,0.579697323404493,1.24859116743251,Fully fished
Istiophoridae,Istiophoridae,b_div_bmsy,2019,0.866297658324237,0.238019637870683,0.593931565797451,1.27067077467724,Fully fished
Isurus oxyrinchus,Isurus oxyrinchus,b_div_bmsy,2019,0.859344133950625,0.239429834458872,0.580737492032156,1.2569472261895,Fully fished
Macruronus novaezelandiae,Macruronus novaezelandiae,b_div_bmsy,2019,0.854305264552652,0.239254371296403,0.581458096892958,1.24848753408678,Fully fished
Megalops cyprinoides,Megalops cyprinoides,b_div_bmsy,2019,0.853594570947172,0.241012070230636,0.583272321288007,1.25458501392481,Fully fished
Meretrix spp,Meretrix spp,b_div_bmsy,2019,0.854877698027377,0.239508826119549,0.578803499240616,1.26607147601792,Fully fished
Monacanthidae,Monacanthidae,b_div_bmsy,2019,0.703061385874439,0.188678573399634,0.539803403022809,1.04567833367525,Overfished
Mustelus antarcticus,Mustelus antarcticus,b_div_bmsy,2019,0.855552214575106,0.239660728105815,0.583075924469828,1.26103169205942,Fully fished
Paphies australis,Paphies australis,b_div_bmsy,2019,0.864184233993018,0.250184918410687,0.578918635987356,1.29926525165093,Fully fished
Pterygotrigla polyommata,Pterygotrigla polyommata,b_div_bmsy,2019,0.898303119077129,0.267147408933385,0.57908683582649,1.36723881690529,Fully fished
Rachycentron canadum,Rachycentron canadum,b_div_bmsy,2019,0.858510422942048,0.250710886816427,0.579174042054079,1.27299091401481,Fully fished
Rexea solandri,Rexea solandri,b_div_bmsy,2019,0.85367679698755,0.229065556683718,0.595327352643521,1.2328706883447,Fully fished
Rhodophyta,Rhodophyta,b_div_bmsy,2019,0.861410459932301,0.248788937331594,0.576802017044707,1.28199450492104,Fully fished
Scolopsis spp,Scolopsis spp,b_div_bmsy,2019,0.88168476960177,0.236032117217187,0.602073600979178,1.27674918256124,Fully fished
Scylla serrata,Scylla serrata,b_div_bmsy,2019,1.04743063381418,0.0521530764127079,0.958151344738969,1.10733813922409,Fully fished
Scyllaridae,Scyllaridae,b_div_bmsy,2019,0.96741059883105,0.26614542425623,0.612668465383869,1.44803928674369,Fully fished
Seriolina nigrofasciata,Seriolina nigrofasciata,b_div_bmsy,2019,0.863671179590237,0.242843802904838,0.584217501743102,1.29020173255624,Fully fished
Serranidae,Serranidae,b_div_bmsy,2019,0.859093346601604,0.238955744066271,0.595206823078871,1.27253654500623,Fully fished
Siganus spp,Siganus spp,b_div_bmsy,2019,0.860538835609863,0.245794395924213,0.577909964877253,1.25275024676827,Fully fished
Testudinata,Testudinata,b_div_bmsy,2019,0.84764988711935,0.248061489361804,0.573160479792737,1.25578046535361,Fully fished
Thenus orientalis,Thenus orientalis,b_div_bmsy,2019,0.855683393647517,0.249379739380983,0.57439522535034,1.27052510742447,Fully fished
Zenopsis nebulosus,Zenopsis nebulosus,b_div_bmsy,2019,1.64178623651543,0.0335535312071714,1.55460141873741,1.71803381906679,Underfished
Zeus faber,Zeus faber,b_div_bmsy,2019,0.879376601060801,0.24359207780483,0.59534669114424,1.28756840565843,Fully fished
